q1,q2,q3,xe,ye,thetae
1.22,-2.21,-1,63.09,-105.34,-114.02
2.8,-2.72,-1,85.85,-49.49,-52.71
0.8,-1.31,0,317.49,-33.67,-29.22
0.01,-0.09,1,338.33,94.34,52.71
1.77,-2.56,0,157.27,-57.26,-45.26
1.62,-0.19,1,-86.6,343.45,139.23
0.67,-1.26,-1,207.42,-121.57,-91.1
1.05,-0.6,-1,292.57,101.36,-31.51
0.23,-2.65,1,48.51,-184.76,-81.36
1.81,-1.15,-1,194.46,162.65,-19.48
1.53,-1.24,0,254.45,204.24,16.62
3.05,-0.16,-1,-296.16,167.69,108.29
0.91,-1.07,0,336.47,61.21,-9.17
2.59,-0.63,0,-209.38,308.68,112.3
2.59,-3.04,0,123.4,-44.97,-25.78
1.22,-0.9,1,200.34,288.91,75.63
2.26,-0.8,-1,48.19,287.24,26.36
1.76,-1.48,0,225.42,199.53,16.04
1.44,-1.17,1,180.76,287.73,72.77
1.14,-0.32,-2,192.5,92.97,-67.61
2.85,-1.31,-1,-9.01,234.15,30.94
2.12,-1.37,1,4.09,327.41,100.27
2.98,-3.04,0,131.23,5.33,-3.44
0.95,-0.46,2,86.96,245.76,142.67
0.65,-0.3,1,254.08,250.09,77.35
0.41,-0.09,0,366.03,133.61,18.33
2.37,-0.72,1,-218.08,281.6,151.83
1.31,-0.92,0,274.0,224.45,22.35
0.46,-3.1,2,106.77,-82.43,-36.67
0.36,-2.39,1,130.97,-182.19,-59.01
1.66,-1.92,0,239.68,62.64,-14.9
0.16,-2.05,1,169.37,-203.74,-50.99
0.8,-1.8,-1,106.71,-134.34,-114.59
1.3,-0.84,1,165.64,312.18,83.65
0.51,-0.24,-1,335.62,11.45,-41.83
1.22,-1.86,-1,139.96,-85.24,-93.97
1.81,-1.55,-1,190.83,72.06,-42.4
1.64,-0.86,0,175.85,312.54,44.69
1.78,-3.01,1,143.03,-25.0,-13.18
2.11,-2.24,-1,117.62,-22.87,-64.74
2.86,-1.4,0,-96.13,294.53,83.65
0.41,-2.98,0,-99.44,-88.83,-147.25
0.15,-2.18,-1,-58.27,-111.58,-173.61
0.21,-2.96,1,-16.19,-150.43,-100.27
2.12,-0.02,1,-263.38,228.5,177.62
2.49,-2.67,0,152.43,32.29,-10.31
0.35,-3.03,0,-110.67,-71.22,-153.55
1.68,-2.09,0,224.28,25.59,-23.49
1.89,-0.53,1,-105.87,342.13,135.22
3.04,-2.39,0,77.65,170.53,37.24
0.77,-0.98,0,347.62,36.3,-12.03
3.06,-2.81,1,37.38,166.13,71.62
2.59,-0.02,1,-338.31,84.45,204.55
2.42,-3.02,-1,5.9,-117.47,-91.67
1.03,-1.35,0,313.73,29.66,-18.33
0.37,-0.89,-1,240.62,-147.42,-87.09
0.88,-1.7,1,299.42,28.42,10.31
0.57,-2.25,-1,-21.12,-116.97,-153.55
1.44,-0.35,-1,206.55,255.84,5.16
0.57,-1.38,0,288.72,-118.16,-46.41
2.43,-2.71,1,124.22,134.69,41.25
2.08,-1.53,0,158.28,249.41,31.51
0.56,-0.83,1,332.31,121.07,41.83
1.79,-2.62,0,147.2,-64.97,-47.56
0.9,-1.08,1,297.4,173.61,46.98
2.97,-2.19,0,56.75,205.05,44.69
2.59,-1.64,1,-83.22,294.63,111.73
2.39,-2.5,-1,92.04,-41.95,-63.6
0.43,-2.57,0,-21.96,-164.81,-122.61
0.83,-2.91,0,-39.01,-131.08,-119.18
3.1,-2.42,1,-42.97,216.37,96.26
0.86,-0.56,1,243.79,262.2,74.48
2.52,-1.57,1,-78.19,302.21,111.73
0.71,-2.82,0,-34.91,-138.37,-120.89
0.1,-3.05,0,-125.89,-36.53,-169.02
1.8,-2.35,0,192.12,-9.3,-31.51
2.44,-2.61,1,116.56,157.84,47.56
1.85,-0.14,-1,44.72,338.45,40.68
1.67,-0.91,1,56.9,346.6,100.84
0.98,-0.44,1,187.92,304.74,88.24
3.06,-1.68,-1,15.81,186.46,21.77
1.41,-0.87,0,243.82,262.0,30.94
0.52,-1.98,-1,26.24,-146.51,-140.95
2.84,-1.53,0,-57.09,289.82,75.06
1.99,-1.04,1,-25.42,345.25,111.73
2.87,-2.87,0,134.77,34.87,0.0
2.0,-2.94,0,99.25,-91.76,-53.86
1.86,-1.96,0,221.63,98.64,-5.73
0.9,-0.52,1,226.19,277.69,79.07
1.83,-1.89,1,173.12,222.84,53.86
2.48,-1.54,-2,37.65,71.44,-60.73
2.64,-2.81,-1,64.86,-79.18,-67.04
0.15,-1.01,2,267.64,39.03,65.32
1.92,-1.49,-2,73.79,46.35,-89.95
0.54,-2.74,1,82.1,-159.43,-68.75
2.21,-2.68,0,154.26,-13.42,-26.93
2.81,-1.6,-1,50.12,191.05,12.03
0.24,-2.7,0,-75.63,-132.91,-140.95
2.89,-1.86,0,7.95,255.26,59.01
0.7,-2.03,1,253.42,-84.63,-18.91
1.98,-1.96,0,208.22,124.47,1.15
3.0,-2.82,-1,87.89,-53.43,-46.98
0.66,-0.91,0,354.62,15.38,-14.32
0.72,-0.32,-1,324.77,62.94,-34.38
3.01,-1.52,1,-221.75,225.47,142.67
2.36,-0.69,-2,17.84,178.81,-18.91
0.33,-2.5,-1,-80.28,-61.53,-181.63
2.56,-1.67,0,55.02,273.45,50.99
1.61,-1.79,1,211.49,201.68,46.98
0.42,-0.74,-1,274.36,-113.82,-75.63
0.91,-0.59,1,235.45,269.46,75.63
0.41,-0.39,1,317.24,165.19,58.44
0.61,-0.33,1,268.76,234.94,73.34
2.34,-1.38,0,58.69,306.39,55.0
1.43,-0.19,1,-20.18,353.63,128.34
2.44,-1.61,1,-44.88,305.49,104.85
1.85,-0.37,0,-12.25,383.89,84.8
1.51,-0.81,-1,231.52,175.09,-17.19
1.45,-1.78,0,261.64,44.8,-18.91
0.87,-1.96,1,273.42,-27.58,-5.16
3.01,-2.56,-1,99.01,5.65,-31.51
2.48,-0.43,-1,-97.83,307.99,60.16
0.41,-0.95,-2,123.55,-88.59,-145.53
2.91,-0.34,0,-345.2,170.49,147.25
0.16,-2.21,-1,-61.05,-106.54,-174.75
1.18,-1.84,-1,140.64,-88.99,-95.11
1.92,-1.75,1,134.37,263.85,67.04
0.07,-0.65,0,347.16,-133.39,-33.23
0.16,-1.2,2,268.71,15.09,55.0
2.34,-2.3,-1,114.03,-7.9,-55.0
2.3,-1.59,-2,48.0,56.77,-73.91
1.15,-3.04,1,94.13,-105.79,-50.99
1.43,-1.18,0,270.16,193.04,14.32
0.31,-2.17,-1,-38.15,-121.07,-163.87
1.28,-1.62,-1,189.57,-45.36,-76.78
1.41,-0.37,1,27.84,356.39,116.88
3.0,-3.05,0,130.98,5.35,-2.86
1.62,-0.17,-1,126.33,315.44,25.78
1.84,-2.87,0,99.28,-97.58,-59.01
1.21,-1.68,0,277.7,3.88,-26.93
0.04,-1.16,0,243.17,-228.83,-64.17
1.72,-2.29,0,199.57,-11.75,-32.66
2.99,-0.24,0,-368.83,118.86,157.56
0.45,-2.4,-1,-58.69,-88.97,-169.02
2.78,-0.42,1,-340.78,109.4,192.51
0.77,-1.67,-1,132.11,-134.35,-108.86
1.39,-2.09,0,222.23,-39.62,-40.11
2.76,-1.84,1,-86.37,273.99,110.01
1.77,-2.17,-1,116.11,-51.3,-80.21
2.77,-1.71,1,-118.66,275.36,118.03
1.33,-0.63,0,229.86,293.75,40.11
3.03,-2.74,-1,93.97,-33.09,-40.68
1.07,-1.77,0,261.28,-53.46,-40.11
2.22,-0.26,0,-177.25,344.11,112.3
1.85,-0.9,-1,169.63,224.21,-2.86
1.85,-0.56,0,36.22,374.78,73.91
1.28,-2.08,-1,98.31,-95.31,-103.13
0.21,-2.08,0,50.51,-221.35,-107.14
0.94,-2.36,-1,-1.4,-109.42,-138.66
2.88,-1.08,-1,-64.54,253.48,45.84
1.03,-0.37,-2,199.36,64.6,-76.78
2.56,-2.09,0,123.18,189.17,26.93
0.58,-0.07,-1,336.9,73.52,-28.07
1.6,-2.07,1,224.27,136.79,30.37
1.94,-0.58,-1,101.95,294.16,20.63
0.48,-2.13,0,94.74,-199.15,-94.54
3.0,-0.19,-1,-282.42,186.97,103.71
0.16,-3.0,0,-119.93,-56.52,-162.72
2.09,-1.98,0,193.92,141.41,6.3
2.28,-1.96,1,71.0,265.48,75.63
1.01,-0.81,-1,287.12,42.66,-45.84
2.8,-2.59,1,50.55,192.28,69.33
2.19,-1.87,1,80.21,272.69,75.63
1.01,-0.46,0,290.8,245.99,31.51
0.89,-1.42,2,207.07,164.64,84.22
0.15,-1.41,-1,85.63,-204.67,-129.49
2.44,-0.12,-1,-155.57,305.03,75.63
1.95,-0.45,-1,75.16,312.76,28.65
1.25,-2.55,0,110.54,-127.16,-74.48
0.55,-0.62,0,370.19,49.76,-4.01
2.82,-2.88,0,136.2,25.5,-3.44
2.3,-1.54,0,101.84,276.06,43.54
2.34,-2.43,-1,99.17,-33.55,-62.45
1.08,-0.98,0,319.97,140.61,5.73
3.12,-0.65,-1,-218.66,213.04,84.22
0.38,-1.28,1,330.89,-40.63,5.73
1.21,-1.35,1,259.44,202.01,49.27
1.07,-2.26,1,238.39,-31.2,-10.89
0.16,-0.56,1,355.37,43.49,34.38
2.13,-0.3,-1,-14.55,331.79,47.56
0.56,-2.01,-1,25.68,-142.91,-140.37
0.94,-2.11,1,255.52,-36.71,-9.74
2.74,-0.52,1,-327.85,144.19,184.49
1.77,-0.75,1,-14.14,355.31,115.74
2.39,-0.13,1,-306.74,173.74,186.78
0.18,-2.18,0,19.7,-213.14,-114.59
1.71,-1.77,0,241.49,113.15,-3.44
0.11,-1.59,-1,38.43,-195.06,-142.09
1.5,-2.52,-1,20.78,-98.2,-115.74
0.78,-1.92,-1,76.64,-136.2,-122.61
1.35,-2.78,1,164.88,-56.06,-24.64
1.43,-1.34,0,277.19,152.08,5.16
1.19,-0.53,-1,273.57,157.04,-19.48
2.07,-2.8,-1,14.03,-100.91,-99.12
1.3,-1.56,0,286.04,58.42,-14.9
0.05,-0.3,-1,296.79,-149.03,-71.62
2.62,-0.79,0,-179.35,316.09,104.85
1.09,-3.05,0,-38.53,-125.29,-112.3
2.16,-3.04,0,93.42,-92.31,-50.42
1.55,-2.38,1,218.56,56.03,9.74
3.13,-2.88,1,36.96,157.04,71.62
0.19,-1.1,-1,164.19,-200.68,-109.43
0.94,-0.31,0,286.76,258.16,36.1
1.66,-2.46,-1,49.45,-90.37,-103.13
2.66,-1.83,-1,100.65,134.15,-9.74
1.11,-2.1,0,200.47,-100.93,-56.72
2.44,-2.95,0,127.62,-43.02,-29.22
2.77,-1.08,1,-253.56,233.01,154.13
0.57,-2.48,0,22.94,-175.03,-109.43
1.73,-2.97,0,63.84,-117.55,-71.05
1.06,-2.64,0,61.16,-146.58,-90.53
2.03,-2.95,1,150.72,23.49,4.58
1.14,-1.14,0,314.29,118.12,0.0
0.29,-2.56,-1,-88.03,-45.68,-187.36
1.55,-1.6,1,208.16,229.22,54.43
0.38,-3.09,-1,-106.91,63.82,-212.57
0.76,-2.25,-2,-17.47,4.37,-199.96
3.01,-2.95,0,130.66,32.65,3.44
0.42,-2.11,1,203.5,-158.82,-39.53
1.5,-1.39,0,267.62,158.22,6.3
0.98,-0.12,0,242.05,305.0,49.27
1.62,-0.93,-1,217.67,172.93,-17.76
1.67,-2.65,1,189.51,24.0,1.15
1.33,-1.63,0,279.39,49.41,-17.19
0.96,-0.07,1,115.59,330.95,108.29
0.9,-1.06,-1,261.06,-38.06,-66.46
1.87,-0.75,-1,147.39,256.8,6.88
1.83,-2.43,0,181.27,-21.15,-34.38
1.38,-2.67,0,96.7,-122.18,-73.91
1.36,-2.2,-1,79.4,-95.0,-105.42
1.21,-1.33,1,257.79,206.26,50.42
2.52,-2.01,0,121.23,202.63,29.22
2.74,-2.18,0,100.63,188.92,32.09
0.44,-0.86,-1,255.85,-126.16,-81.36
1.29,-2.83,1,151.53,-71.87,-30.94
0.75,-1.81,-1,97.58,-139.55,-118.03
2.96,-1.0,-1,-102.63,250.25,55.0
1.45,-1.69,1,236.17,187.71,43.54
2.83,-2.39,1,10.83,224.12,82.51
2.71,-0.84,1,-281.63,213.48,164.44
1.75,-1.35,-1,203.86,105.14,-34.38
0.23,-1.59,1,275.44,-143.28,-20.63
0.96,-0.89,-1,281.96,11.38,-53.29
2.21,-2.08,0,180.25,138.04,7.45
0.42,-2.9,1,27.92,-156.32,-84.8
2.87,-0.1,0,-367.49,129.28,158.71
1.81,-0.51,0,38.75,376.82,74.48
3.1,-0.72,0,-318.06,184.82,136.36
0.6,-1.74,0,215.87,-162.84,-65.32
0.22,-2.39,2,181.67,-100.98,-9.74
0.15,-2.81,1,1.75,-170.27,-95.11
2.6,-0.35,1,-322.29,154.1,186.21
0.8,-0.86,-1,283.89,-27.95,-60.73
2.72,-2.05,0,85.18,214.65,38.39
1.82,-2.19,0,210.34,31.96,-21.2
1.65,-1.7,0,249.39,116.6,-2.86
2.73,-2.91,1,97.45,123.78,46.98
1.18,-0.52,-1,274.78,156.55,-19.48
0.63,-0.64,0,365.03,73.99,-0.57
1.99,-2.65,1,172.34,82.39,19.48
2.86,-1.26,0,-132.47,296.01,91.67
2.37,-2.46,1,116.08,181.6,52.14
0.6,-1.37,-1,174.9,-144.52,-101.41
1.31,-1.88,-1,143.07,-74.55,-89.95
0.96,-1.9,1,281.0,9.31,3.44
1.09,-2.2,1,247.14,-15.45,-6.3
0.13,-1.75,1,228.31,-188.52,-35.52
